size,p_nu,p_alpha,p_beta,p_mu,p_lambda,q_95,q_99,p_tex
1000,1.4,0.05,0,0.7,0.1,11.0179760560105,17.4732041614283,"n_ 1 _nu_ 3 _alpha_ 2 _beta_ 1 _mu_ 1 _lambda_ 1.csv"
1000,1.4,0.05,0,0.7,0.6,4.07037662227971,6.48757412999864,"n_ 1 _nu_ 3 _alpha_ 2 _beta_ 1 _mu_ 1 _lambda_ 2.csv"
1000,1.4,0.05,0,0.7,1.1,3.00760273677568,4.77316550276874,"n_ 1 _nu_ 3 _alpha_ 2 _beta_ 1 _mu_ 1 _lambda_ 3.csv"
1000,1.4,0.05,0,0.7,4,1.67288374653671,2.60440407348321,"n_ 1 _nu_ 3 _alpha_ 2 _beta_ 1 _mu_ 1 _lambda_ 4.csv"
1000,1.4,0.05,0,1.8,0.1,11.1581506779643,17.6225330938147,"n_ 1 _nu_ 3 _alpha_ 2 _beta_ 1 _mu_ 2 _lambda_ 1.csv"
1000,1.4,0.05,0,1.8,0.6,4.25615665809728,6.69677453317579,"n_ 1 _nu_ 3 _alpha_ 2 _beta_ 1 _mu_ 2 _lambda_ 2.csv"
1000,1.4,0.05,0,1.8,1.1,3.20184704042974,4.99736509751904,"n_ 1 _nu_ 3 _alpha_ 2 _beta_ 1 _mu_ 2 _lambda_ 3.csv"
1000,1.4,0.05,0,1.8,4,1.86549955000559,2.84008991287812,"n_ 1 _nu_ 3 _alpha_ 2 _beta_ 1 _mu_ 2 _lambda_ 4.csv"
1000,1.4,0.2,0,0.7,0.1,19.4588970382254,29.442149414423,"n_ 1 _nu_ 3 _alpha_ 3 _beta_ 1 _mu_ 1 _lambda_ 1.csv"
1000,1.4,0.2,0,0.7,0.6,5.33351876639263,8.24849079738143,"n_ 1 _nu_ 3 _alpha_ 3 _beta_ 1 _mu_ 1 _lambda_ 2.csv"
1000,1.4,0.2,0,0.7,1.1,3.69278492426859,5.71921216052582,"n_ 1 _nu_ 3 _alpha_ 3 _beta_ 1 _mu_ 1 _lambda_ 3.csv"
1000,1.4,0.2,0,0.7,4,1.87399593057155,2.87238850679111,"n_ 1 _nu_ 3 _alpha_ 3 _beta_ 1 _mu_ 1 _lambda_ 4.csv"
1000,1.4,0.2,0,1.8,0.1,19.6960418119137,29.6868244030568,"n_ 1 _nu_ 3 _alpha_ 3 _beta_ 1 _mu_ 2 _lambda_ 1.csv"
1000,1.4,0.2,0,1.8,0.6,5.58009089996835,8.51621048229481,"n_ 1 _nu_ 3 _alpha_ 3 _beta_ 1 _mu_ 2 _lambda_ 2.csv"
1000,1.4,0.2,0,1.8,1.1,3.93758991164901,5.99185623729487,"n_ 1 _nu_ 3 _alpha_ 3 _beta_ 1 _mu_ 2 _lambda_ 3.csv"
1000,1.4,0.2,0,1.8,4,2.09866396960583,3.13885778327885,"n_ 1 _nu_ 3 _alpha_ 3 _beta_ 1 _mu_ 2 _lambda_ 4.csv"
1000,1.4,0.7,0,0.7,0.1,54.3540994024033,79.8537596271532,"n_ 1 _nu_ 3 _alpha_ 4 _beta_ 1 _mu_ 1 _lambda_ 1.csv"
1000,1.4,0.7,0,0.7,0.6,10.550532314932,15.612215745435,"n_ 1 _nu_ 3 _alpha_ 4 _beta_ 1 _mu_ 1 _lambda_ 2.csv"
1000,1.4,0.7,0,0.7,1.1,6.44669828799315,9.56147219150668,"n_ 1 _nu_ 3 _alpha_ 4 _beta_ 1 _mu_ 1 _lambda_ 3.csv"
1000,1.4,0.7,0,0.7,4,2.62724086482479,3.88534142755751,"n_ 1 _nu_ 3 _alpha_ 4 _beta_ 1 _mu_ 1 _lambda_ 4.csv"
1000,1.4,0.7,0,1.8,0.1,54.9884904596588,80.4984527579381,"n_ 1 _nu_ 3 _alpha_ 4 _beta_ 1 _mu_ 2 _lambda_ 1.csv"
1000,1.4,0.7,0,1.8,0.6,11.0310997773011,16.1137979701001,"n_ 1 _nu_ 3 _alpha_ 4 _beta_ 1 _mu_ 2 _lambda_ 2.csv"
1000,1.4,0.7,0,1.8,1.1,6.87920667659824,10.0206497485046,"n_ 1 _nu_ 3 _alpha_ 4 _beta_ 1 _mu_ 2 _lambda_ 3.csv"
1000,1.4,0.7,0,1.8,4,2.96422531979666,4.26215216854733,"n_ 1 _nu_ 3 _alpha_ 4 _beta_ 1 _mu_ 2 _lambda_ 4.csv"
1000,1.4,2,0,0.7,0.1,151.234058843208,221.141969416305,"n_ 1 _nu_ 3 _alpha_ 5 _beta_ 1 _mu_ 1 _lambda_ 1.csv"
1000,1.4,2,0,0.7,0.6,26.5289405965049,38.543654403849,"n_ 1 _nu_ 3 _alpha_ 5 _beta_ 1 _mu_ 1 _lambda_ 2.csv"
1000,1.4,2,0,0.7,1.1,15.1030175464219,21.8484126178394,"n_ 1 _nu_ 3 _alpha_ 5 _beta_ 1 _mu_ 1 _lambda_ 3.csv"
1000,1.4,2,0,0.7,4,5.00089698696228,7.13176423101367,"n_ 1 _nu_ 3 _alpha_ 5 _beta_ 1 _mu_ 1 _lambda_ 4.csv"
1000,1.4,2,0,1.8,0.1,152.984888023087,222.917239159059,"n_ 1 _nu_ 3 _alpha_ 5 _beta_ 1 _mu_ 2 _lambda_ 1.csv"
1000,1.4,2,0,1.8,0.6,27.7163444548493,39.7674416870763,"n_ 1 _nu_ 3 _alpha_ 5 _beta_ 1 _mu_ 2 _lambda_ 2.csv"
1000,1.4,2,0,1.8,1.1,16.1038986757378,22.8892546798506,"n_ 1 _nu_ 3 _alpha_ 5 _beta_ 1 _mu_ 2 _lambda_ 3.csv"
1000,1.4,2,0,1.8,4,5.66419601555809,7.8411239923182,"n_ 1 _nu_ 3 _alpha_ 5 _beta_ 1 _mu_ 2 _lambda_ 4.csv"
1000,1.4,5,0,0.7,0.1,376.852405591865,550.70545905066,"n_ 1 _nu_ 3 _alpha_ 6 _beta_ 1 _mu_ 1 _lambda_ 1.csv"
1000,1.4,5,0,0.7,0.6,65.0693271386011,94.2255287859547,"n_ 1 _nu_ 3 _alpha_ 6 _beta_ 1 _mu_ 1 _lambda_ 2.csv"
1000,1.4,5,0,0.7,1.1,36.4974719941842,52.5028634265152,"n_ 1 _nu_ 3 _alpha_ 6 _beta_ 1 _mu_ 1 _lambda_ 3.csv"
1000,1.4,5,0,0.7,4,11.2603912360459,15.8257362309454,"n_ 1 _nu_ 3 _alpha_ 6 _beta_ 1 _mu_ 1 _lambda_ 4.csv"
1000,1.4,5,0,1.8,0.1,381.210515326085,555.123231472017,"n_ 1 _nu_ 3 _alpha_ 6 _beta_ 1 _mu_ 2 _lambda_ 1.csv"
1000,1.4,5,0,1.8,0.6,67.9704821239024,97.2092890692191,"n_ 1 _nu_ 3 _alpha_ 6 _beta_ 1 _mu_ 2 _lambda_ 2.csv"
1000,1.4,5,0,1.8,1.1,38.9050616449748,54.9962743734915,"n_ 1 _nu_ 3 _alpha_ 6 _beta_ 1 _mu_ 2 _lambda_ 3.csv"
1000,1.4,5,0,1.8,4,12.7589609647949,17.405416926499,"n_ 1 _nu_ 3 _alpha_ 6 _beta_ 1 _mu_ 2 _lambda_ 4.csv"
